代理帳號,遊戲分類,場館名稱,佔成比例
aq1122,電子,Jili FISH,80%
aq1122,電子,Jili SLOTS,80%
aq1122,電子,pg,80%
aq1122,電子,PP ZH SLOTS,80%
aq1122,電子,WG,80%
aq1122,棋牌,Jili POKER,80%
aq1122,體育,huangguan,80%
aq1122,體育,panda,80%
aq1122,體育,saba,80%
aq1122,體育,体育,80%
aq1122,彩票,SIX,80%
aq1122,真人,db_live,80%
aq1122,真人,qixing,80%
aq1122,U獨家,CG Labs,80%
dl111111,電子,Jili FISH,0%
dl111111,電子,Jili SLOTS,0%
dl111111,電子,pg,0%
dl111111,電子,PP ZH SLOTS,0%
dl111111,電子,WG,0%
dl111111,棋牌,Jili POKER,0%
dl111111,體育,huangguan,0%
dl111111,體育,panda,0%
dl111111,體育,saba,0%
dl111111,體育,体育,0%
dl111111,彩票,SIX,0%
dl111111,真人,db_live,0%
dl111111,真人,qixing,0%
dl111111,U獨家,CG Labs,0%
hj1111,電子,Jili FISH,50%
hj1111,電子,Jili SLOTS,50%
hj1111,電子,pg,50%
hj1111,電子,PP ZH SLOTS,50%
hj1111,電子,WG,50%
hj1111,棋牌,Jili POKER,50%
hj1111,體育,huangguan,50%
hj1111,體育,panda,50%
hj1111,體育,saba,50%
hj1111,體育,体育,50%
hj1111,彩票,SIX,50%
hj1111,真人,db_live,50%
hj1111,真人,qixing,50%
hj1111,U獨家,CG Labs,50%
pd1122,電子,Jili FISH,85%
pd1122,電子,Jili SLOTS,85%
pd1122,電子,pg,85%
pd1122,電子,PP ZH SLOTS,85%
pd1122,電子,WG,85%
pd1122,棋牌,Jili POKER,85%
pd1122,體育,huangguan,85%
pd1122,體育,panda,85%
pd1122,體育,saba,85%
pd1122,體育,体育,85%
pd1122,彩票,SIX,85%
pd1122,真人,db_live,85%
pd1122,真人,qixing,85%
pd1122,U獨家,CG Labs,85%
qx1122,電子,Jili FISH,40%
qx1122,電子,Jili SLOTS,40%
qx1122,電子,pg,40%
qx1122,電子,PP ZH SLOTS,40%
qx1122,電子,WG,40%
qx1122,棋牌,Jili POKER,40%
qx1122,體育,huangguan,40%
qx1122,體育,panda,40%
qx1122,體育,saba,40%
qx1122,體育,体育,40%
qx1122,彩票,SIX,40%
qx1122,真人,db_live,40%
qx1122,真人,qixing,40%
qx1122,U獨家,CG Labs,40%
test01,電子,Jili FISH,50%
test01,電子,Jili SLOTS,50%
test01,電子,pg,50%
test01,電子,PP ZH SLOTS,50%
test01,電子,WG,50%
test01,棋牌,Jili POKER,50%
test01,體育,huangguan,50%
test01,體育,panda,50%
test01,體育,saba,50%
test01,體育,体育,50%
test01,彩票,SIX,50%
test01,真人,db_live,50%
test01,真人,qixing,50%
test01,U獨家,CG Labs,50%
