订单号,会员ID,上层代理,类型,金额,币种,状态,支付方式,支付渠道商,申请时间,完成时间,审核人员,备注
OTX2067098853465231361,2065062780082909184,aq1122,充值,13,USDT,已完成,bgw,bgw,2026-06-17 00:15:46,2026-06-17 00:16:15,,在線充值
2026061708272764882,2064999947139870720,test01,充值,2000,USDT,已成功,,,2026-06-17 04:37:58,2026-06-17 04:37:58,,資金修正-充值補發
2026061708272762004,2065000455472738304,test01,充值,2000,USDT,已成功,,,2026-06-17 04:38:00,2026-06-17 04:38:00,,資金修正-充值補發
2026061708272794088,2065000686767632384,test01,充值,2000,USDT,已成功,,,2026-06-17 04:38:02,2026-06-17 04:38:02,,資金修正-充值補發
2026061708272754542,2065000874223661056,test01,充值,2000,USDT,已成功,,,2026-06-17 04:38:04,2026-06-17 04:38:04,,資金修正-充值補發
2026061708272760294,2065001057980313600,test01,充值,2000,USDT,已成功,,,2026-06-17 04:38:05,2026-06-17 04:38:05,,資金修正-充值補發
2026061708272724690,2065001283466096640,test01,充值,2000,USDT,已成功,,,2026-06-17 04:38:07,2026-06-17 04:38:07,,資金修正-充值補發
2026061708272792931,2065001469261180928,test01,充值,2000,USDT,已成功,,,2026-06-17 04:38:09,2026-06-17 04:38:09,,資金修正-充值補發
2026061708272725607,2065001653848305664,test01,充值,2000,USDT,已成功,,,2026-06-17 04:38:11,2026-06-17 04:38:11,,資金修正-充值補發
2026061708272796356,2065001864284925952,test01,充值,2000,USDT,已成功,,,2026-06-17 04:38:13,2026-06-17 04:38:13,,資金修正-充值補發
2026061708272776376,2065002107026075648,test01,充值,2000,USDT,已成功,,,2026-06-17 04:38:14,2026-06-17 04:38:14,,資金修正-充值補發
OTX2067212365916573697,2065449725409685504,aq1122,提現,694,USDT,已完成,Aurora_USDT_Withdraw_TRC20,bgw,2026-06-17 07:46:49,2026-06-17 08:09:23,,會員提現
OTX2067323938060406785,2065397098395267072,pd1122,充值,1000,USDT,已完成,bgw,bgw,2026-06-17 15:10:10,2026-06-17 15:10:15,,在線充值
