本平台单号,三方单号,会员ID,上层代理,投注日期时间,投注金额,投注币种,派彩金额,派彩日期时间,会员输赢金额,游戏名称,游戏场馆,有效打码
2067101060059160576,2067099450148447232,2065062780082909184,aq1122,2026-06-17 00:18:08,0.6,USDT,1.38,2026-06-17 00:18:15,0.78,Mahjong Ways,PG,0.6
2067101060164018176,2067099499888725504,2065062780082909184,aq1122,2026-06-17 00:18:20,0.6,USDT,0,2026-06-17 00:18:20,-0.6,Mahjong Ways,PG,0.6
2067101060268875776,2067099515306982912,2065062780082909184,aq1122,2026-06-17 00:18:23,0.6,USDT,0,2026-06-17 00:18:24,-0.6,Mahjong Ways,PG,0.6
2067101060373733376,2067099530934936064,2065062780082909184,aq1122,2026-06-17 00:18:27,0.6,USDT,0,2026-06-17 00:18:27,-0.6,Mahjong Ways,PG,0.6
2067101060478590976,2067099547540224000,2065062780082909184,aq1122,2026-06-17 00:18:31,0.6,USDT,0,2026-06-17 00:18:31,-0.6,Mahjong Ways,PG,0.6
2067101059530678272,2067099562094431744,2065062780082909184,aq1122,2026-06-17 00:18:35,0.6,USDT,0,2026-06-17 00:18:35,-0.6,Mahjong Ways,PG,0.6
2067101059635535872,2067099576799698945,2065062780082909184,aq1122,2026-06-17 00:18:38,0.6,USDT,0,2026-06-17 00:18:38,-0.6,Mahjong Ways,PG,0.6
2067101059849445376,2067099634286796289,2065062780082909184,aq1122,2026-06-17 00:18:52,0.6,USDT,0,2026-06-17 00:18:52,-0.6,Mahjong Ways,PG,0.6
2067101059740393472,2067099648778106881,2065062780082909184,aq1122,2026-06-17 00:18:55,0.6,USDT,0,2026-06-17 00:18:55,-0.6,Mahjong Ways,PG,0.6
2067101059954302976,2067099662870906880,2065062780082909184,aq1122,2026-06-17 00:18:59,0.6,USDT,0.06,2026-06-17 00:19:03,-0.54,Mahjong Ways,PG,0.6
2067101311427993600,2067099697935313920,2065062780082909184,aq1122,2026-06-17 00:19:07,0.6,USDT,0,2026-06-17 00:19:07,-0.6,Mahjong Ways,PG,0.6
2067101312396877824,2067099720513279488,2065062780082909184,aq1122,2026-06-17 00:19:12,0.6,USDT,0,2026-06-17 00:19:13,-0.6,Mahjong Ways,PG,0.6
