流水号,会员ID,帐变类型,帐变币种,帐变金额,帐变前余额,帐变后余额,关联单号,帐变时间,操作人员,备注
2069631718469021696,2065376588613611520,遊戲返水,USDT,0.008,293.7704,293.7784,2069631718078017536,2026-06-24 00:00:28,,change_type=返水；biz_type=0500；方向=收入；狀態=入賬成功
2069631718702542848,2065376588613611520,遊戲返水,USDT,0.008,293.7784,293.7864,2069631718279344128,2026-06-24 00:00:28,,change_type=返水；biz_type=0500；方向=收入；狀態=入賬成功
2069631718773846016,2065376588613611520,遊戲返水,USDT,0.008,293.7864,293.7944,2069631718472282112,2026-06-24 00:00:28,,change_type=返水；biz_type=0500；方向=收入；狀態=入賬成功
2069631718930395136,2065376588613611520,遊戲返水,USDT,0.008,293.7944,293.8024,2069631718681997312,2026-06-24 00:00:28,,change_type=返水；biz_type=0500；方向=收入；狀態=入賬成功
2069631719169470464,2065376588613611520,遊戲返水,USDT,0.008,293.8024,293.8104,2069631718929461248,2026-06-24 00:00:28,,change_type=返水；biz_type=0500；方向=收入；狀態=入賬成功
2069631719387574272,2065376588613611520,遊戲返水,USDT,0.008,293.8104,293.8184,2069631719109816320,2026-06-24 00:00:28,,change_type=返水；biz_type=0500；方向=收入；狀態=入賬成功
2069631719566569472,2065376588613611520,遊戲返水,USDT,0.008,293.8184,293.8264,2069631719290171392,2026-06-24 00:00:28,,change_type=返水；biz_type=0500；方向=收入；狀態=入賬成功
2069631719731507200,2065376588613611520,遊戲返水,USDT,0.008,293.8264,293.8344,2069631719474720768,2026-06-24 00:00:28,,change_type=返水；biz_type=0500；方向=收入；狀態=入賬成功
2069631719893725184,2065376588613611520,遊戲返水,USDT,0.008,293.8344,293.8424,2069631719646687232,2026-06-24 00:00:28,,change_type=返水；biz_type=0500；方向=收入；狀態=入賬成功
2069631720100605952,2065376588613611520,遊戲返水,USDT,0.008,293.8424,293.8504,2069631719827042304,2026-06-24 00:00:28,,change_type=返水；biz_type=0500；方向=收入；狀態=入賬成功
2069631970130096128,2065376588613611520,遊戲返水,USDT,0.008,293.8504,293.8584,2069631969669148672,2026-06-24 00:01:28,,change_type=返水；biz_type=0500；方向=收入；狀態=入賬成功
2069631970218176512,2065376588613611520,遊戲返水,USDT,0.016,293.8584,293.8744,2069631969857892352,2026-06-24 00:01:28,,change_type=返水；biz_type=0500；方向=收入；狀態=入賬成功
2069631970289479680,2065376588613611520,遊戲返水,USDT,0.008,293.8744,293.8824,2069631970042441728,2026-06-24 00:01:28,,change_type=返水；biz_type=0500；方向=收入；狀態=入賬成功
2069631970532749312,2065376588613611520,遊戲返水,USDT,0.016,293.8824,293.8984,2069631970289905664,2026-06-24 00:01:28,,change_type=返水；biz_type=0500；方向=收入；狀態=入賬成功
